[12.18 14:32:55.138] [Log] Log started.
[12.18 14:32:55.782] [Program] Sentry initialized.
[12.18 14:32:55.796] [AppCenterBootstrapper] AppCenterBootstrapper started.
[12.18 14:32:55.796] [AppCenterBootstrapper] Microsoft Windows NT 10.0.19045.0
[12.18 14:32:55.797] [AppCenterBootstrapper] .NET Framework Registry Release Key Value: 533325
[12.18 14:32:55.798] [AppCenterBootstrapper] .NET Framework 4.8 or later is installed
[12.18 14:32:55.823] [AppCenterBootstrapper] InstallConfigurationManager: Reading InstallConfigurationData...
[12.18 14:33:08.629] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 54%, State: Processing, OperationStatus: Started
[12.18 14:33:08.708] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 55%, State: Processing, OperationStatus: Started
[12.18 14:33:08.761] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 56%, State: Processing, OperationStatus: Started
[12.18 14:33:08.820] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 57%, State: Processing, OperationStatus: Started
[12.18 14:33:08.864] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 58%, State: Processing, OperationStatus: Started
[12.18 14:33:08.959] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 59%, State: Processing, OperationStatus: Started
[12.18 14:33:09.040] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 60%, State: Processing, OperationStatus: Started
[12.18 14:33:09.107] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 61%, State: Processing, OperationStatus: Started
[12.18 14:33:09.139] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 62%, State: Processing, OperationStatus: Started
[12.18 14:33:09.181] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 63%, State: Processing, OperationStatus: Started
